year,state,month,number,date
2008,Rondonia,Agosto,1.251,01/01/2008
2009,Rondonia,Agosto,484,01/01/2009
2010,Rondonia,Agosto,4.388,01/01/2010
2011,Rondonia,Agosto,1.161,01/01/2011
2012,Rondonia,Agosto,2.209,01/01/2012
2013,Rondonia,Agosto,885,01/01/2013
2014,Rondonia,Agosto,3.038,01/01/2014
2015,Rondonia,Agosto,3.762,01/01/2015
2016,Rondonia,Agosto,3.675,01/01/2016
2017,Rondonia,Agosto,4.287,01/01/2017
1998,Rondonia,Setembro,3.753,01/01/1998
1999,Rondonia,Setembro,3.062,01/01/1999
2000,Rondonia,Setembro,2.438,01/01/2000
2001,Rondonia,Setembro,1.927,01/01/2001
2002,Rondonia,Setembro,7.067,01/01/2002
2003,Rondonia,Setembro,6.89,01/01/2003
2004,Rondonia,Setembro,13.05,01/01/2004
2005,Rondonia,Setembro,13.972,01/01/2005
2006,Rondonia,Setembro,9.92,01/01/2006
2007,Rondonia,Setembro,6.832,01/01/2007
2008,Rondonia,Setembro,3.726,01/01/2008
2009,Rondonia,Setembro,1.869,01/01/2009
2010,Rondonia,Setembro,4.893,01/01/2010
2011,Rondonia,Setembro,1.782,01/01/2011
2012,Rondonia,Setembro,2.471,01/01/2012
2013,Rondonia,Setembro,1.776,01/01/2013
2014,Rondonia,Setembro,2.8,01/01/2014
2015,Rondonia,Setembro,6.129,01/01/2015
2016,Rondonia,Setembro,4.208,01/01/2016
2017,Rondonia,Setembro,5.638,01/01/2017
1998,Rondonia,Outubro,483,01/01/1998
1999,Rondonia,Outubro,1.884,01/01/1999
2000,Rondonia,Outubro,644,01/01/2000
2001,Rondonia,Outubro,796,01/01/2001
2002,Rondonia,Outubro,3.554,01/01/2002
2003,Rondonia,Outubro,4.962,01/01/2003
2004,Rondonia,Outubro,3.094,01/01/2004
2005,Rondonia,Outubro,2.559,01/01/2005
2006,Rondonia,Outubro,1.148,01/01/2006
2007,Rondonia,Outubro,2.023,01/01/2007
2008,Rondonia,Outubro,1.482,01/01/2008
2009,Rondonia,Outubro,1.444,01/01/2009
2010,Rondonia,Outubro,1.307,01/01/2010
2011,Rondonia,Outubro,822,01/01/2011
2012,Rondonia,Outubro,1.229,01/01/2012
2013,Rondonia,Outubro,555,01/01/2013
2014,Rondonia,Outubro,1.063,01/01/2014
2015,Rondonia,Outubro,2.598,01/01/2015
2016,Rondonia,Outubro,1.844,01/01/2016
2017,Rondonia,Outubro,2.19,01/01/2017
1998,Rondonia,Novembro,3,01/01/1998
1999,Rondonia,Novembro,41,01/01/1999
2000,Rondonia,Novembro,13,01/01/2000
2001,Rondonia,Novembro,91,01/01/2001
2002,Rondonia,Novembro,639,01/01/2002
2003,Rondonia,Novembro,526,01/01/2003
2004,Rondonia,Novembro,452,01/01/2004
2005,Rondonia,Novembro,465,01/01/2005
2006,Rondonia,Novembro,253,01/01/2006
2007,Rondonia,Novembro,53,01/01/2007
2008,Rondonia,Novembro,78,01/01/2008
2009,Rondonia,Novembro,128,01/01/2009
2010,Rondonia,Novembro,238,01/01/2010
2011,Rondonia,Novembro,245,01/01/2011
2012,Rondonia,Novembro,174,01/01/2012
2013,Rondonia,Novembro,108,01/01/2013
2014,Rondonia,Novembro,202,01/01/2014
2015,Rondonia,Novembro,1.002,01/01/2015
2016,Rondonia,Novembro,401,01/01/2016
2017,Rondonia,Novembro,372,01/01/2017
1998,Rondonia,Dezembro,33,01/01/1998
1999,Rondonia,Dezembro,0,01/01/1999
2000,Rondonia,Dezembro,7,01/01/2000
2001,Rondonia,Dezembro,1,01/01/2001
2002,Rondonia,Dezembro,91,01/01/2002
2003,Rondonia,Dezembro,214,01/01/2003
2004,Rondonia,Dezembro,208,01/01/2004
2005,Rondonia,Dezembro,36,01/01/2005
2006,Rondonia,Dezembro,4,01/01/2006
2007,Rondonia,Dezembro,6,01/01/2007
2008,Rondonia,Dezembro,2,01/01/2008
2009,Rondonia,Dezembro,9,01/01/2009
2010,Rondonia,Dezembro,158,01/01/2010
2011,Rondonia,Dezembro,37,01/01/2011
2012,Rondonia,Dezembro,50,01/01/2012
2013,Rondonia,Dezembro,143,01/01/2013
2014,Rondonia,Dezembro,144,01/01/2014
2015,Rondonia,Dezembro,282,01/01/2015
2016,Rondonia,Dezembro,148,01/01/2016
1998,Roraima,Janeiro,0,01/01/1998
1999,Roraima,Janeiro,15,01/01/1999
2000,Roraima,Janeiro,18,01/01/2000
2001,Roraima,Janeiro,101,01/01/2001
2002,Roraima,Janeiro,302,01/01/2002
2003,Roraima,Janeiro,547,01/01/2003
2004,Roraima,Janeiro,355,01/01/2004
2005,Roraima,Janeiro,106,01/01/2005
2006,Roraima,Janeiro,70,01/01/2006
2007,Roraima,Janeiro,194,01/01/2007
2008,Roraima,Janeiro,245,01/01/2008
2009,Roraima,Janeiro,45,01/01/2009
2010,Roraima,Janeiro,351,01/01/2010
2011,Roraima,Janeiro,225,01/01/2011
2012,Roraima,Janeiro,217,01/01/2012
2013,Roraima,Janeiro,397,01/01/2013
2014,Roraima,Janeiro,355,01/01/2014
2015,Roraima,Janeiro,330,01/01/2015
2016,Roraima,Janeiro,1.754,01/01/2016
2017,Roraima,Janeiro,108,01/01/2017
1998,Roraima,Fevereiro,0,01/01/1998
1999,Roraima,Fevereiro,20,01/01/1999
2000,Roraima,Fevereiro,57,01/01/2000
2001,Roraima,Fevereiro,646,01/01/2001
2002,Roraima,Fevereiro,476,01/01/2002
2003,Roraima,Fevereiro,767,01/01/2003
2004,Roraima,Fevereiro,259,01/01/2004
2005,Roraima,Fevereiro,105,01/01/2005
2006,Roraima,Fevereiro,283,01/01/2006
2007,Roraima,Fevereiro,796,01/01/2007
2008,Roraima,Fevereiro,138,01/01/2008
2009,Roraima,Fevereiro,153,01/01/2009
2010,Roraima,Fevereiro,470,01/01/2010
2011,Roraima,Fevereiro,112,01/01/2011
2012,Roraima,Fevereiro,130,01/01/2012
2013,Roraima,Fevereiro,62,01/01/2013
2014,Roraima,Fevereiro,226,01/01/2014
2015,Roraima,Fevereiro,418,01/01/2015
2016,Roraima,Fevereiro,171,01/01/2016
2017,Roraima,Fevereiro,129,01/01/2017
1998,Roraima,Março,0,01/01/1998
1999,Roraima,Março,98,01/01/1999
2000,Roraima,Março,125,01/01/2000
2001,Roraima,Março,1.108,01/01/2001
2002,Roraima,Março,820,01/01/2002
2003,Roraima,Março,1.131,01/01/2003
2004,Roraima,Março,276,01/01/2004
2005,Roraima,Março,244,01/01/2005
2006,Roraima,Março,385,01/01/2006
2007,Roraima,Março,665,01/01/2007
2008,Roraima,Março,422,01/01/2008
2009,Roraima,Março,176,01/01/2009
2010,Roraima,Março,417,01/01/2010
2011,Roraima,Março,91,01/01/2011
2012,Roraima,Março,99,01/01/2012
2013,Roraima,Março,179,01/01/2013
2014,Roraima,Março,494,01/01/2014
2015,Roraima,Março,163,01/01/2015
2016,Roraima,Março,1.081,01/01/2016
2017,Roraima,Março,216,01/01/2017
1998,Roraima,Abril,0,01/01/1998
1999,Roraima,Abril,16,01/01/1999
2000,Roraima,Abril,0,01/01/2000
2001,Roraima,Abril,380,01/01/2001
2002,Roraima,Abril,41,01/01/2002
2003,Roraima,Abril,268,01/01/2003
2004,Roraima,Abril,182,01/01/2004
2005,Roraima,Abril,22,01/01/2005
2006,Roraima,Abril,201,01/01/2006
2007,Roraima,Abril,58,01/01/2007
2008,Roraima,Abril,175,01/01/2008
2009,Roraima,Abril,115,01/01/2009
2010,Roraima,Abril,15,01/01/2010
2011,Roraima,Abril,108,01/01/2011
2012,Roraima,Abril,25,01/01/2012
2013,Roraima,Abril,87,01/01/2013
2014,Roraima,Abril,162,01/01/2014
2015,Roraima,Abril,278,01/01/2015
2016,Roraima,Abril,126,01/01/2016
2017,Roraima,Abril,51,01/01/2017
1998,Roraima,Maio,0,01/01/1998
1999,Roraima,Maio,0,01/01/1999
2000,Roraima,Maio,7,01/01/2000
2001,Roraima,Maio,9,01/01/2001
2002,Roraima,Maio,0,01/01/2002
2003,Roraima,Maio,0,01/01/2003
2004,Roraima,Maio,2,01/01/2004
2005,Roraima,Maio,1,01/01/2005
2006,Roraima,Maio,0,01/01/2006
2007,Roraima,Maio,0,01/01/2007
2008,Roraima,Maio,8,01/01/2008
2009,Roraima,Maio,219,01/01/2009
2010,Roraima,Maio,3,01/01/2010
2011,Roraima,Maio,4,01/01/2011
2012,Roraima,Maio,18,01/01/2012
2013,Roraima,Maio,4,01/01/2013
2014,Roraima,Maio,58,01/01/2014
2015,Roraima,Maio,12,01/01/2015
2016,Roraima,Maio,22,01/01/2016
2017,Roraima,Maio,29,01/01/2017
1998,Roraima,Junho,0,01/01/1998
1999,Roraima,Junho,3,01/01/1999
2000,Roraima,Junho,0,01/01/2000
2001,Roraima,Junho,1,01/01/2001
2002,Roraima,Junho,0,01/01/2002
2003,Roraima,Junho,0,01/01/2003
2004,Roraima,Junho,6,01/01/2004
2005,Roraima,Junho,5,01/01/2005
2006,Roraima,Junho,0,01/01/2006
2007,Roraima,Junho,1,01/01/2007
2008,Roraima,Junho,0,01/01/2008
2009,Roraima,Junho,16,01/01/2009
2010,Roraima,Junho,0,01/01/2010
2011,Roraima,Junho,6,01/01/2011
2012,Roraima,Junho,22,01/01/2012
2013,Roraima,Junho,6,01/01/2013
2014,Roraima,Junho,4,01/01/2014
2015,Roraima,Junho,3,01/01/2015
2016,Roraima,Junho,7,01/01/2016
2017,Roraima,Junho,4,01/01/2017
1998,Roraima,Julho,1,01/01/1998
1999,Roraima,Julho,4,01/01/1999
2000,Roraima,Julho,0,01/01/2000
2001,Roraima,Julho,1,01/01/2001
2002,Roraima,Julho,7,01/01/2002
2003,Roraima,Julho,0,01/01/2003
2004,Roraima,Julho,2,01/01/2004
2005,Roraima,Julho,2,01/01/2005
2006,Roraima,Julho,0,01/01/2006
2007,Roraima,Julho,3,01/01/2007
2008,Roraima,Julho,0,01/01/2008
2009,Roraima,Julho,18,01/01/2009
2010,Roraima,Julho,1,01/01/2010
2011,Roraima,Julho,9,01/01/2011
2012,Roraima,Julho,2,01/01/2012
2013,Roraima,Julho,4,01/01/2013
2014,Roraima,Julho,9,01/01/2014
2015,Roraima,Julho,5,01/01/2015
2016,Roraima,Julho,0,01/01/2016
2017,Roraima,Julho,3,01/01/2017
1998,Roraima,Agosto,0,01/01/1998
1999,Roraima,Agosto,1,01/01/1999
2000,Roraima,Agosto,9,01/01/2000
2001,Roraima,Agosto,4,01/01/2001
2002,Roraima,Agosto,7,01/01/2002
2003,Roraima,Agosto,2,01/01/2003
2004,Roraima,Agosto,18,01/01/2004
2005,Roraima,Agosto,9,01/01/2005
2006,Roraima,Agosto,4,01/01/2006
2007,Roraima,Agosto,2,01/01/2007
2008,Roraima,Agosto,4,01/01/2008
2009,Roraima,Agosto,29,01/01/2009
2010,Roraima,Agosto,3,01/01/2010
2011,Roraima,Agosto,39,01/01/2011
2012,Roraima,Agosto,4,01/01/2012
2013,Roraima,Agosto,3,01/01/2013
2014,Roraima,Agosto,12,01/01/2014
2015,Roraima,Agosto,11,01/01/2015
2016,Roraima,Agosto,11,01/01/2016
2017,Roraima,Agosto,35,01/01/2017
1998,Roraima,Setembro,2,01/01/1998
1999,Roraima,Setembro,3,01/01/1999
2000,Roraima,Setembro,12,01/01/2000
2001,Roraima,Setembro,1,01/01/2001
2002,Roraima,Setembro,48,01/01/2002
2003,Roraima,Setembro,6,01/01/2003
2004,Roraima,Setembro,9,01/01/2004
2005,Roraima,Setembro,72,01/01/2005
2006,Roraima,Setembro,40,01/01/2006
2007,Roraima,Setembro,9,01/01/2007
2008,Roraima,Setembro,17,01/01/2008
2009,Roraima,Setembro,117,01/01/2009
2010,Roraima,Setembro,18,01/01/2010
2011,Roraima,Setembro,53,01/01/2011
2012,Roraima,Setembro,67,01/01/2012
2013,Roraima,Setembro,18,01/01/2013
2014,Roraima,Setembro,67,01/01/2014
2015,Roraima,Setembro,77,01/01/2015
2016,Roraima,Setembro,19,01/01/2016
2017,Roraima,Setembro,43,01/01/2017
1998,Roraima,Outubro,1,01/01/1998
1999,Roraima,Outubro,10,01/01/1999
2000,Roraima,Outubro,25,01/01/2000
2001,Roraima,Outubro,13,01/01/2001
2002,Roraima,Outubro,191,01/01/2002
2003,Roraima,Outubro,14,01/01/2003
2004,Roraima,Outubro,53,01/01/2004
2005,Roraima,Outubro,88,01/01/2005
2006,Roraima,Outubro,135,01/01/2006
2007,Roraima,Outubro,15,01/01/2007
2008,Roraima,Outubro,78,01/01/2008
2009,Roraima,Outubro,197,01/01/2009
2010,Roraima,Outubro,64,01/01/2010
2011,Roraima,Outubro,65,01/01/2011
2012,Roraima,Outubro,152,01/01/2012
2013,Roraima,Outubro,63,01/01/2013
2014,Roraima,Outubro,61,01/01/2014
2015,Roraima,Outubro,181,01/01/2015
2016,Roraima,Outubro,101,01/01/2016
2017,Roraima,Outubro,156,01/01/2017
1998,Roraima,Novembro,1,01/01/1998
1999,Roraima,Novembro,15,01/01/1999
2000,Roraima,Novembro,32,01/01/2000
2001,Roraima,Novembro,76,01/01/2001
2002,Roraima,Novembro,133,01/01/2002
2003,Roraima,Novembro,27,01/01/2003
2004,Roraima,Novembro,135,01/01/2004
2005,Roraima,Novembro,135,01/01/2005
2006,Roraima,Novembro,26,01/01/2006
2007,Roraima,Novembro,112,01/01/2007
2008,Roraima,Novembro,39,01/01/2008
2009,Roraima,Novembro,312,01/01/2009
2010,Roraima,Novembro,27,01/01/2010
2011,Roraima,Novembro,121,01/01/2011
2012,Roraima,Novembro,187,01/01/2012
2013,Roraima,Novembro,106,01/01/2013
2014,Roraima,Novembro,143,01/01/2014
2015,Roraima,Novembro,280,01/01/2015
2016,Roraima,Novembro,71,01/01/2016
2017,Roraima,Novembro,327,01/01/2017
1998,Roraima,Dezembro,16,01/01/1998
1999,Roraima,Dezembro,35,01/01/1999
2000,Roraima,Dezembro,77,01/01/2000
2001,Roraima,Dezembro,76,01/01/2001
2002,Roraima,Dezembro,199,01/01/2002
2003,Roraima,Dezembro,157,01/01/2003
2004,Roraima,Dezembro,160,01/01/2004
2005,Roraima,Dezembro,71,01/01/2005
2006,Roraima,Dezembro,101,01/01/2006
2007,Roraima,Dezembro,8,01/01/2007
2008,Roraima,Dezembro,5,01/01/2008
2009,Roraima,Dezembro,290,01/01/2009
2010,Roraima,Dezembro,73,01/01/2010
2011,Roraima,Dezembro,249,01/01/2011
2012,Roraima,Dezembro,78,01/01/2012
2013,Roraima,Dezembro,65,01/01/2013
2014,Roraima,Dezembro,277,01/01/2014
2015,Roraima,Dezembro,304,01/01/2015
2016,Roraima,Dezembro,136,01/01/2016
1998,Santa Catarina,Janeiro,0,01/01/1998
1999,Santa Catarina,Janeiro,11,01/01/1999
2000,Santa Catarina,Janeiro,14,01/01/2000
2001,Santa Catarina,Janeiro,11,01/01/2001
2002,Santa Catarina,Janeiro,22,01/01/2002
2003,Santa Catarina,Janeiro,45,01/01/2003
2004,Santa Catarina,Janeiro,37,01/01/2004
2005,Santa Catarina,Janeiro,46,01/01/2005
2006,Santa Catarina,Janeiro,41,01/01/2006
2007,Santa Catarina,Janeiro,9,01/01/2007
2008,Santa Catarina,Janeiro,25,01/01/2008
2009,Santa Catarina,Janeiro,21,01/01/2009
2010,Santa Catarina,Janeiro,2,01/01/2010
2011,Santa Catarina,Janeiro,9,01/01/2011
2012,Santa Catarina,Janeiro,14,01/01/2012
2013,Santa Catarina,Janeiro,18,01/01/2013
2014,Santa Catarina,Janeiro,58,01/01/2014
2015,Santa Catarina,Janeiro,28,01/01/2015
2016,Santa Catarina,Janeiro,53,01/01/2016
2017,Santa Catarina,Janeiro,46,01/01/2017
1998,Santa Catarina,Fevereiro,0,01/01/1998
1999,Santa Catarina,Fevereiro,2,01/01/1999
2000,Santa Catarina,Fevereiro,8,01/01/2000
2001,Santa Catarina,Fevereiro,0,01/01/2001
2002,Santa Catarina,Fevereiro,5,01/01/2002
2003,Santa Catarina,Fevereiro,43,01/01/2003
2004,Santa Catarina,Fevereiro,29,01/01/2004
2005,Santa Catarina,Fevereiro,46,01/01/2005
2006,Santa Catarina,Fevereiro,18,01/01/2006
2007,Santa Catarina,Fevereiro,14,01/01/2007
2008,Santa Catarina,Fevereiro,29,01/01/2008
2009,Santa Catarina,Fevereiro,7,01/01/2009
2010,Santa Catarina,Fevereiro,15,01/01/2010
2011,Santa Catarina,Fevereiro,1,01/01/2011
2012,Santa Catarina,Fevereiro,13,01/01/2012
2013,Santa Catarina,Fevereiro,12,01/01/2013
2014,Santa Catarina,Fevereiro,27,01/01/2014
2015,Santa Catarina,Fevereiro,23,01/01/2015
2016,Santa Catarina,Fevereiro,10,01/01/2016
2017,Santa Catarina,Fevereiro,31,01/01/2017
1998,Santa Catarina,Março,0,01/01/1998
1999,Santa Catarina,Março,7,01/01/1999
2000,Santa Catarina,Março,46,01/01/2000
2001,Santa Catarina,Março,1,01/01/2001
2002,Santa Catarina,Março,12,01/01/2002
2003,Santa Catarina,Março,58,01/01/2003
2004,Santa Catarina,Março,73,01/01/2004
2005,Santa Catarina,Março,92,01/01/2005
2006,Santa Catarina,Março,48,01/01/2006
2007,Santa Catarina,Março,23,01/01/2007
2008,Santa Catarina,Março,14,01/01/2008
2009,Santa Catarina,Março,33,01/01/2009
2010,Santa Catarina,Março,9,01/01/2010
2011,Santa Catarina,Março,8,01/01/2011
2012,Santa Catarina,Março,65,01/01/2012
2013,Santa Catarina,Março,14,01/01/2013
2014,Santa Catarina,Março,15,01/01/2014
2015,Santa Catarina,Março,37,01/01/2015
2016,Santa Catarina,Março,21,01/01/2016
2017,Santa Catarina,Março,12,01/01/2017
1998,Santa Catarina,Abril,0,01/01/1998
1999,Santa Catarina,Abril,0,01/01/1999
2000,Santa Catarina,Abril,7,01/01/2000
2001,Santa Catarina,Abril,1,01/01/2001
2002,Santa Catarina,Abril,7,01/01/2002
2003,Santa Catarina,Abril,120,01/01/2003
2004,Santa Catarina,Abril,59,01/01/2004
2005,Santa Catarina,Abril,25,01/01/2005
2006,Santa Catarina,Abril,30,01/01/2006
2007,Santa Catarina,Abril,2,01/01/2007
2008,Santa Catarina,Abril,31,01/01/2008
2009,Santa Catarina,Abril,57,01/01/2009
2010,Santa Catarina,Abril,19,01/01/2010
2011,Santa Catarina,Abril,5,01/01/2011
2012,Santa Catarina,Abril,40,01/01/2012
2013,Santa Catarina,Abril,46,01/01/2013
2014,Santa Catarina,Abril,34,01/01/2014
2015,Santa Catarina,Abril,32,01/01/2015
2016,Santa Catarina,Abril,36,01/01/2016
2017,Santa Catarina,Abril,26,01/01/2017
1998,Santa Catarina,Maio,0,01/01/1998
1999,Santa Catarina,Maio,1,01/01/1999
2000,Santa Catarina,Maio,0,01/01/2000
2001,Santa Catarina,Maio,2,01/01/2001
2002,Santa Catarina,Maio,3,01/01/2002
2003,Santa Catarina,Maio,84,01/01/2003
2004,Santa Catarina,Maio,2,01/01/2004
2005,Santa Catarina,Maio,21,01/01/2005
2006,Santa Catarina,Maio,33,01/01/2006
2007,Santa Catarina,Maio,2,01/01/2007
2008,Santa Catarina,Maio,15,01/01/2008
2009,Santa Catarina,Maio,33,01/01/2009
2010,Santa Catarina,Maio,1,01/01/2010
2011,Santa Catarina,Maio,16,01/01/2011
2012,Santa Catarina,Maio,60,01/01/2012
2013,Santa Catarina,Maio,52,01/01/2013
2014,Santa Catarina,Maio,42,01/01/2014
2015,Santa Catarina,Maio,70,01/01/2015
2016,Santa Catarina,Maio,26,01/01/2016
2017,Santa Catarina,Maio,36,01/01/2017
1998,Santa Catarina,Junho,2,01/01/1998
1999,Santa Catarina,Junho,0,01/01/1999
2000,Santa Catarina,Junho,2,01/01/2000
2001,Santa Catarina,Junho,1,01/01/2001
2002,Santa Catarina,Junho,0,01/01/2002
2003,Santa Catarina,Junho,68,01/01/2003
2004,Santa Catarina,Junho,127,01/01/2004
2005,Santa Catarina,Junho,58,01/01/2005
2006,Santa Catarina,Junho,32,01/01/2006
2007,Santa Catarina,Junho,11,01/01/2007
2008,Santa Catarina,Junho,2,01/01/2008
2009,Santa Catarina,Junho,14,01/01/2009
2010,Santa Catarina,Junho,1,01/01/2010
2011,Santa Catarina,Junho,26,01/01/2011
2012,Santa Catarina,Junho,42,01/01/2012
2013,Santa Catarina,Junho,31,01/01/2013
2014,Santa Catarina,Junho,3,01/01/2014
2015,Santa Catarina,Junho,104,01/01/2015
2016,Santa Catarina,Junho,79,01/01/2016
2017,Santa Catarina,Junho,70,01/01/2017
1998,Santa Catarina,Julho,0,01/01/1998
1999,Santa Catarina,Julho,2,01/01/1999
2000,Santa Catarina,Julho,21,01/01/2000
2001,Santa Catarina,Julho,5,01/01/2001
2002,Santa Catarina,Julho,82,01/01/2002
2003,Santa Catarina,Julho,43,01/01/2003
2004,Santa Catarina,Julho,94,01/01/2004
2005,Santa Catarina,Julho,90,01/01/2005
2006,Santa Catarina,Julho,74,01/01/2006
2007,Santa Catarina,Julho,12,01/01/2007
2008,Santa Catarina,Julho,46,01/01/2008
2009,Santa Catarina,Julho,26,01/01/2009
2010,Santa Catarina,Julho,31,01/01/2010
2011,Santa Catarina,Julho,31,01/01/2011
2012,Santa Catarina,Julho,42,01/01/2012
2013,Santa Catarina,Julho,69,01/01/2013
2014,Santa Catarina,Julho,82,01/01/2014
2015,Santa Catarina,Julho,45,01/01/2015
2016,Santa Catarina,Julho,480,01/01/2016
2017,Santa Catarina,Julho,591,01/01/2017
1998,Santa Catarina,Agosto,0,01/01/1998
1999,Santa Catarina,Agosto,51,01/01/1999
2000,Santa Catarina,Agosto,69,01/01/2000
2001,Santa Catarina,Agosto,24,01/01/2001
2002,Santa Catarina,Agosto,702,01/01/2002
2003,Santa Catarina,Agosto,1.513,01/01/2003
2004,Santa Catarina,Agosto,728,01/01/2004
2005,Santa Catarina,Agosto,391,01/01/2005
2006,Santa Catarina,Agosto,728,01/01/2006
2007,Santa Catarina,Agosto,462,01/01/2007
2008,Santa Catarina,Agosto,51,01/01/2008
2009,Santa Catarina,Agosto,759,01/01/2009
2010,Santa Catarina,Agosto,511,01/01/2010
2011,Santa Catarina,Agosto,175,01/01/2011
2012,Santa Catarina,Agosto,398,01/01/2012
2013,Santa Catarina,Agosto,236,01/01/2013
2014,Santa Catarina,Agosto,459,01/01/2014
2015,Santa Catarina,Agosto,379,01/01/2015
2016,Santa Catarina,Agosto,765,01/01/2016
2017,Santa Catarina,Agosto,713,01/01/2017
1998,Santa Catarina,Setembro,6,01/01/1998
1999,Santa Catarina,Setembro,101,01/01/1999
2000,Santa Catarina,Setembro,36,01/01/2000
2001,Santa Catarina,Setembro,18,01/01/2001
2002,Santa Catarina,Setembro,416,01/01/2002
2003,Santa Catarina,Setembro,1.339,01/01/2003
2004,Santa Catarina,Setembro,755,01/01/2004
2005,Santa Catarina,Setembro,116,01/01/2005
2006,Santa Catarina,Setembro,530,01/01/2006
2007,Santa Catarina,Setembro,617,01/01/2007
2008,Santa Catarina,Setembro,233,01/01/2008
2009,Santa Catarina,Setembro,47,01/01/2009
2010,Santa Catarina,Setembro,198,01/01/2010
2011,Santa Catarina,Setembro,450,01/01/2011
2012,Santa Catarina,Setembro,188,01/01/2012
2013,Santa Catarina,Setembro,303,01/01/2013
2014,Santa Catarina,Setembro,208,01/01/2014
2015,Santa Catarina,Setembro,156,01/01/2015
2016,Santa Catarina,Setembro,644,01/01/2016
2017,Santa Catarina,Setembro,626,01/01/2017
1998,Santa Catarina,Outubro,4,01/01/1998
1999,Santa Catarina,Outubro,16,01/01/1999
2000,Santa Catarina,Outubro,55,01/01/2000
2001,Santa Catarina,Outubro,26,01/01/2001
2002,Santa Catarina,Outubro,42,01/01/2002
2003,Santa Catarina,Outubro,669,01/01/2003
2004,Santa Catarina,Outubro,704,01/01/2004
2005,Santa Catarina,Outubro,197,01/01/2005
2006,Santa Catarina,Outubro,269,01/01/2006
2007,Santa Catarina,Outubro,35,01/01/2007
2008,Santa Catarina,Outubro,56,01/01/2008
2009,Santa Catarina,Outubro,252,01/01/2009
2010,Santa Catarina,Outubro,76,01/01/2010
2011,Santa Catarina,Outubro,102,01/01/2011
2012,Santa Catarina,Outubro,34,01/01/2012
2013,Santa Catarina,Outubro,107,01/01/2013
2014,Santa Catarina,Outubro,122,01/01/2014
2015,Santa Catarina,Outubro,21,01/01/2015
2016,Santa Catarina,Outubro,56,01/01/2016
2017,Santa Catarina,Outubro,51,01/01/2017
1998,Santa Catarina,Novembro,21,01/01/1998
1999,Santa Catarina,Novembro,84,01/01/1999
2000,Santa Catarina,Novembro,19,01/01/2000
2001,Santa Catarina,Novembro,66,01/01/2001
2002,Santa Catarina,Novembro,348,01/01/2002
2003,Santa Catarina,Novembro,347,01/01/2003
2004,Santa Catarina,Novembro,279,01/01/2004
2005,Santa Catarina,Novembro,384,01/01/2005
2006,Santa Catarina,Novembro,45,01/01/2006
2007,Santa Catarina,Novembro,26,01/01/2007
2008,Santa Catarina,Novembro,16,01/01/2008
2009,Santa Catarina,Novembro,61,01/01/2009
2010,Santa Catarina,Novembro,88,01/01/2010
2011,Santa Catarina,Novembro,79,01/01/2011
2012,Santa Catarina,Novembro,72,01/01/2012
2013,Santa Catarina,Novembro,84,01/01/2013
2014,Santa Catarina,Novembro,43,01/01/2014
2015,Santa Catarina,Novembro,9,01/01/2015
2016,Santa Catarina,Novembro,156,01/01/2016
2017,Santa Catarina,Novembro,152,01/01/2017
1998,Santa Catarina,Dezembro,26,01/01/1998
1999,Santa Catarina,Dezembro,89,01/01/1999
2000,Santa Catarina,Dezembro,29,01/01/2000
2001,Santa Catarina,Dezembro,45,01/01/2001
2002,Santa Catarina,Dezembro,76,01/01/2002
2003,Santa Catarina,Dezembro,129,01/01/2003
2004,Santa Catarina,Dezembro,68,01/01/2004
2005,Santa Catarina,Dezembro,17,01/01/2005
2006,Santa Catarina,Dezembro,7,01/01/2006
2007,Santa Catarina,Dezembro,17,01/01/2007
2008,Santa Catarina,Dezembro,29,01/01/2008
2009,Santa Catarina,Dezembro,20,01/01/2009
2010,Santa Catarina,Dezembro,23,01/01/2010
2011,Santa Catarina,Dezembro,24,01/01/2011
2012,Santa Catarina,Dezembro,32,01/01/2012
2013,Santa Catarina,Dezembro,74,01/01/2013
2014,Santa Catarina,Dezembro,45,01/01/2014
2015,Santa Catarina,Dezembro,19,01/01/2015
2016,Santa Catarina,Dezembro,20,01/01/2016
1998,Sao Paulo,Janeiro,0,01/01/1998
1999,Sao Paulo,Janeiro,7,01/01/1999
2000,Sao Paulo,Janeiro,36,01/01/2000
2001,Sao Paulo,Janeiro,26,01/01/2001
2002,Sao Paulo,Janeiro,19,01/01/2002
2003,Sao Paulo,Janeiro,59,01/01/2003
2004,Sao Paulo,Janeiro,37,01/01/2004
2005,Sao Paulo,Janeiro,26,01/01/2005
2006,Sao Paulo,Janeiro,76,01/01/2006
2007,Sao Paulo,Janeiro,14,01/01/2007
2008,Sao Paulo,Janeiro,34,01/01/2008
2009,Sao Paulo,Janeiro,12,01/01/2009
2010,Sao Paulo,Janeiro,45,01/01/2010
2011,Sao Paulo,Janeiro,75,01/01/2011
2012,Sao Paulo,Janeiro,38,01/01/2012
2013,Sao Paulo,Janeiro,36,01/01/2013
2014,Sao Paulo,Janeiro,99,01/01/2014
2015,Sao Paulo,Janeiro,120,01/01/2015
2016,Sao Paulo,Janeiro,85,01/01/2016
2017,Sao Paulo,Janeiro,28,01/01/2017
1998,Sao Paulo,Fevereiro,0,01/01/1998
1999,Sao Paulo,Fevereiro,47,01/01/1999
2000,Sao Paulo,Fevereiro,25,01/01/2000
2001,Sao Paulo,Fevereiro,25,01/01/2001
2002,Sao Paulo,Fevereiro,19,01/01/2002
